"lon","lat","sif"
-34.75,67.75,-0.0528211295604706
-34.25,67.75,-0.170270934700966
-33.25,67.75,0.0356945171952248
-53.75,67.25,0.040509507060051
-49.75,67.25,-0.0717063322663307
-49.25,67.25,-0.0701828822493553
-47.75,67.25,-0.238140642642975
-47.25,67.25,-0.18029648065567
-46.75,67.25,-0.302051454782486
-46.25,67.25,-0.0712431147694588
-45.75,67.25,-0.142080008983612
-45.25,67.25,-0.263195037841797
-44.75,67.25,-0.0495593063533306
-44.25,67.25,-0.155857399106026
-42.75,67.25,-0.0636851564049721
-42.25,67.25,-0.295420467853546
-40.25,67.25,-0.0305574107915163
-39.25,67.25,0.0400192104279995
-37.25,67.25,-0.00694046588614583
-36.75,67.25,-0.0987237468361855
-35.75,67.25,-0.153699263930321
-35.25,67.25,-0.0284096784889698
-34.75,67.25,0.0909088775515556
-33.75,67.25,-0.0456934310495853
14.25,67.25,0.109498463571072
-52.75,66.75,0.01220593880862
-52.25,66.75,0.0982986614108086
-51.75,66.75,0.0864575207233429
-51.25,66.75,-0.00637085037305951
-50.25,66.75,-0.0520421043038368
-49.75,66.75,-0.10015282034874
-48.25,66.75,-0.163593947887421
-47.75,66.75,-0.330749064683914
-46.75,66.75,-0.256433010101318
-46.25,66.75,-0.242057964205742
-45.75,66.75,-0.14960652589798
-45.25,66.75,-0.0551430732011795
-44.75,66.75,-0.158111408352852
-44.25,66.75,-0.0439922362565994
-43.75,66.75,-0.0953374058008194
-43.25,66.75,-0.235465094447136
-41.25,66.75,0.0508638098835945
-40.75,66.75,0.105471104383469
-40.25,66.75,-0.0463647544384003
-39.75,66.75,-0.0702803805470467
-39.25,66.75,-0.0826673433184624
-38.75,66.75,0.0188278369605541
-38.25,66.75,-0.0610627196729183
-53.25,66.25,-0.0559951812028885
-51.25,66.25,0.178362935781479
-50.75,66.25,0.177900463342667
-50.25,66.25,0.0596606098115444
-49.25,66.25,-0.164349660277367
-47.75,66.25,-0.275421351194382
-47.25,66.25,0.109765723347664
-46.75,66.25,-0.193214952945709
-46.25,66.25,-0.362495839595795
-45.75,66.25,-0.119493491947651
-45.25,66.25,-0.242387726902962
-44.75,66.25,-0.204151168465614
-44.25,66.25,-0.205030843615532
-43.75,66.25,-0.0704762861132622
-42.75,66.25,-0.00457806000486016
-42.25,66.25,-0.319646656513214
-41.25,66.25,0.135111957788467
-40.75,66.25,-0.0746980980038643
-40.25,66.25,0.0691974982619286
-39.25,66.25,0.0864812061190605
-38.75,66.25,0.159236818552017
-36.75,66.25,-0.117735892534256
-36.25,66.25,-0.18023394048214
-23.25,66.25,-0.0562840066850185
-22.25,66.25,-0.0155903296545148
-16.75,66.25,0.0341911166906357
-16.25,66.25,0.0200389567762613
-15.25,66.25,0.0228687115013599
-14.75,66.25,0.00171309278812259
-52.75,65.75,-0.0730456188321114
-49.25,65.75,-0.0582821182906628
-48.75,65.75,-0.47740113735199
-48.25,65.75,-0.156001418828964
-47.75,65.75,-0.74479341506958
-47.25,65.75,-0.325080305337906
-46.25,65.75,-0.196755677461624
-45.75,65.75,-0.125629127025604
-45.25,65.75,-0.179066851735115
-44.75,65.75,-0.105378679931164
-43.75,65.75,-0.107767269015312
-43.25,65.75,-0.140334814786911
-42.75,65.75,-0.0170795861631632
-42.25,65.75,0.152758330106735
-41.75,65.75,-0.168087556958199
-41.25,65.75,-0.0695468410849571
-40.75,65.75,-0.125492379069328
-23.25,65.75,0.0760150998830795
-20.75,65.75,0.116341799497604
-20.25,65.75,0.182122722268105
-14.75,65.75,0.0743769779801369
-52.25,65.25,-0.0396442860364914
-49.75,65.25,-0.199234947562218
-48.75,65.25,-0.0962804704904556
-48.25,65.25,-0.150813817977905
-47.75,65.25,0.13707771897316
-46.75,65.25,-0.117691978812218
-46.25,65.25,-0.138886988162994
-44.25,65.25,-0.000330671668052673
-43.75,65.25,-0.0869456604123116
-43.25,65.25,-0.0566960200667381
-42.75,65.25,-0.156775340437889
-41.75,65.25,-0.0323702767491341
-41.25,65.25,-0.504731297492981
-40.25,65.25,-0.00926572922617197
-49.75,64.75,-0.185009300708771
-48.75,64.75,-0.263468325138092
-48.25,64.75,-0.168992698192596
